,Constraint,Time,Value
0,Bal1Constraint,1,28.7728065629636
1,Bal1Constraint,2,28.772806562963602
2,Bal1Constraint,3,28.772806562963616
3,Bal1Constraint,4,28.7728065629636
4,Bal1Constraint,5,28.77280656296361
5,Bal1Constraint,6,28.7728065629636
6,Bal1Constraint,7,28.772806562963645
7,Bal1Constraint,8,28.7728065629636
8,Bal1Constraint,9,28.772806562963602
9,Bal1Constraint,10,28.772806562963602
10,Bal1Constraint,11,28.772806562963602
11,Bal1Constraint,12,28.772806562963638
12,Bal1Constraint,13,28.772806562963602
13,Bal1Constraint,14,28.772806562963602
14,Bal1Constraint,15,28.772806562963602
15,Bal1Constraint,16,28.772806562963602
16,Bal1Constraint,17,28.772806562963602
17,Bal1Constraint,18,28.772806562963602
18,Bal1Constraint,19,28.772806562963602
19,Bal1Constraint,20,28.7728065629636
20,Bal1Constraint,21,28.772806562963602
21,Bal1Constraint,22,28.772806562963602
22,Bal1Constraint,23,28.772806562963602
23,Bal1Constraint,24,28.772806562963602
24,Bal2Constraint,1,28.7728065629636
25,Bal2Constraint,2,28.772806562963602
26,Bal2Constraint,3,28.772806562963616
27,Bal2Constraint,4,28.7728065629636
28,Bal2Constraint,5,28.77280656296361
29,Bal2Constraint,6,28.772806562963602
30,Bal2Constraint,7,28.772806562963645
31,Bal2Constraint,8,28.772806562963602
32,Bal2Constraint,9,28.772806562963602
33,Bal2Constraint,10,28.772806562963602
34,Bal2Constraint,11,28.772806562963602
35,Bal2Constraint,12,28.772806562963602
36,Bal2Constraint,13,28.772806562963602
37,Bal2Constraint,14,28.772806562963602
38,Bal2Constraint,15,28.772806562963602
39,Bal2Constraint,16,28.772806562963602
40,Bal2Constraint,17,28.772806562963602
41,Bal2Constraint,18,28.772806562963602
42,Bal2Constraint,19,28.772806562963602
43,Bal2Constraint,20,28.772806562963602
44,Bal2Constraint,21,28.772806562963602
45,Bal2Constraint,22,28.772806562963602
46,Bal2Constraint,23,28.772806562963602
47,Bal2Constraint,24,28.772806562963602
48,Bal3Constraint,1,28.7728065629636
49,Bal3Constraint,2,28.772806562963602
50,Bal3Constraint,3,28.772806562963616
51,Bal3Constraint,4,28.7728065629636
52,Bal3Constraint,5,28.77280656296361
53,Bal3Constraint,6,28.772806562963602
54,Bal3Constraint,7,28.772806562963645
55,Bal3Constraint,8,28.772806562963602
56,Bal3Constraint,9,28.772806562963602
57,Bal3Constraint,10,28.772806562963602
58,Bal3Constraint,11,28.772806562963602
59,Bal3Constraint,12,28.772806562963638
60,Bal3Constraint,13,28.772806562963602
61,Bal3Constraint,14,28.772806562963602
62,Bal3Constraint,15,28.772806562963602
63,Bal3Constraint,16,28.772806562963602
64,Bal3Constraint,17,28.772806562963602
65,Bal3Constraint,18,28.772806562963602
66,Bal3Constraint,19,28.772806562963602
67,Bal3Constraint,20,28.772806562963602
68,Bal3Constraint,21,28.772806562963602
69,Bal3Constraint,22,28.772806562963602
70,Bal3Constraint,23,28.772806562963602
71,Bal3Constraint,24,28.772806562963602
72,Bal4Constraint,1,28.7728065629636
73,Bal4Constraint,2,28.772806562963602
74,Bal4Constraint,3,28.772806562963616
75,Bal4Constraint,4,28.7728065629636
76,Bal4Constraint,5,28.77280656296361
77,Bal4Constraint,6,28.772806562963602
78,Bal4Constraint,7,28.772806562963645
79,Bal4Constraint,8,28.772806562963602
80,Bal4Constraint,9,28.772806562963602
81,Bal4Constraint,10,28.772806562963602
82,Bal4Constraint,11,28.772806562963602
83,Bal4Constraint,12,28.772806562963638
84,Bal4Constraint,13,28.772806562963602
85,Bal4Constraint,14,28.772806562963602
86,Bal4Constraint,15,28.772806562963602
87,Bal4Constraint,16,28.772806562963602
88,Bal4Constraint,17,28.772806562963602
89,Bal4Constraint,18,28.772806562963602
90,Bal4Constraint,19,28.772806562963602
91,Bal4Constraint,20,28.772806562963602
92,Bal4Constraint,21,28.772806562963602
93,Bal4Constraint,22,28.772806562963602
94,Bal4Constraint,23,28.772806562963602
95,Bal4Constraint,24,28.772806562963602
96,Bal5Constraint,1,28.7728065629636
97,Bal5Constraint,2,28.772806562963602
98,Bal5Constraint,3,28.772806562963616
99,Bal5Constraint,4,28.7728065629636
100,Bal5Constraint,5,28.77280656296361
101,Bal5Constraint,6,28.772806562963602
102,Bal5Constraint,7,28.772806562963645
103,Bal5Constraint,8,28.772806562963602
104,Bal5Constraint,9,28.772806562963602
105,Bal5Constraint,10,28.772806562963602
106,Bal5Constraint,11,28.772806562963602
107,Bal5Constraint,12,28.772806562963638
108,Bal5Constraint,13,28.772806562963602
109,Bal5Constraint,14,28.772806562963602
110,Bal5Constraint,15,28.772806562963602
111,Bal5Constraint,16,28.772806562963602
112,Bal5Constraint,17,28.772806562963602
113,Bal5Constraint,18,28.772806562963602
114,Bal5Constraint,19,28.772806562963602
115,Bal5Constraint,20,28.772806562963602
116,Bal5Constraint,21,28.772806562963602
117,Bal5Constraint,22,28.772806562963602
118,Bal5Constraint,23,28.772806562963602
119,Bal5Constraint,24,28.772806562963602
120,Bal6Constraint,1,28.7728065629636
121,Bal6Constraint,2,28.772806562963602
122,Bal6Constraint,3,28.772806562963616
123,Bal6Constraint,4,28.7728065629636
