,Constraint,Time,Value
0,Bal1Constraint,1,32.5897655828442
1,Bal1Constraint,2,32.19305361795606
2,Bal1Constraint,3,30.888324918944257
3,Bal1Constraint,4,30.399043138263913
4,Bal1Constraint,5,30.41584484726461
5,Bal1Constraint,6,31.72057354627641
6,Bal1Constraint,7,32.6477117186154
7,Bal1Constraint,8,32.6477117186154
8,Bal1Constraint,9,32.6477117186154
9,Bal1Constraint,10,32.6477117186154
10,Bal1Constraint,11,32.6477117186154
11,Bal1Constraint,12,32.6477117186154
12,Bal1Constraint,13,32.6477117186154
13,Bal1Constraint,14,32.6477117186154
14,Bal1Constraint,15,32.6477117186154
15,Bal1Constraint,16,32.6477117186154
16,Bal1Constraint,17,32.6477117186154
17,Bal1Constraint,18,32.6477117186154
18,Bal1Constraint,19,32.6477117186154
19,Bal1Constraint,20,32.6477117186154
20,Bal1Constraint,21,32.6477117186154
21,Bal1Constraint,22,32.5897655828442
22,Bal1Constraint,23,32.5897655828442
23,Bal1Constraint,24,32.5897655828442
24,Bal2Constraint,1,32.5897655828442
25,Bal2Constraint,2,32.19305361795606
26,Bal2Constraint,3,30.888324918944257
27,Bal2Constraint,4,30.399043138263913
28,Bal2Constraint,5,30.41584484726461
29,Bal2Constraint,6,31.72057354627641
30,Bal2Constraint,7,32.6477117186154
31,Bal2Constraint,8,32.6477117186154
32,Bal2Constraint,9,32.6477117186154
33,Bal2Constraint,10,32.6477117186154
34,Bal2Constraint,11,32.6477117186154
35,Bal2Constraint,12,32.6477117186154
36,Bal2Constraint,13,32.6477117186154
37,Bal2Constraint,14,32.6477117186154
38,Bal2Constraint,15,32.6477117186154
39,Bal2Constraint,16,32.6477117186154
40,Bal2Constraint,17,32.6477117186154
41,Bal2Constraint,18,32.6477117186154
42,Bal2Constraint,19,32.6477117186154
43,Bal2Constraint,20,32.6477117186154
44,Bal2Constraint,21,32.6477117186154
45,Bal2Constraint,22,32.5897655828442
46,Bal2Constraint,23,32.5897655828442
47,Bal2Constraint,24,32.5897655828442
48,Bal3Constraint,1,32.5897655828442
49,Bal3Constraint,2,32.19305361795606
50,Bal3Constraint,3,30.888324918944257
51,Bal3Constraint,4,30.399043138263913
52,Bal3Constraint,5,30.41584484726461
53,Bal3Constraint,6,31.72057354627641
54,Bal3Constraint,7,32.6477117186154
55,Bal3Constraint,8,32.6477117186154
56,Bal3Constraint,9,32.6477117186154
57,Bal3Constraint,10,32.6477117186154
58,Bal3Constraint,11,32.6477117186154
59,Bal3Constraint,12,32.6477117186154
60,Bal3Constraint,13,32.6477117186154
61,Bal3Constraint,14,32.6477117186154
62,Bal3Constraint,15,32.6477117186154
63,Bal3Constraint,16,32.6477117186154
64,Bal3Constraint,17,32.6477117186154
65,Bal3Constraint,18,32.6477117186154
66,Bal3Constraint,19,32.6477117186154
67,Bal3Constraint,20,32.6477117186154
68,Bal3Constraint,21,32.6477117186154
69,Bal3Constraint,22,32.5897655828442
70,Bal3Constraint,23,32.5897655828442
71,Bal3Constraint,24,32.5897655828442
72,Bal4Constraint,1,32.5897655828442
73,Bal4Constraint,2,32.19305361795606
74,Bal4Constraint,3,30.888324918944257
75,Bal4Constraint,4,30.399043138263913
76,Bal4Constraint,5,30.41584484726461
77,Bal4Constraint,6,31.72057354627641
78,Bal4Constraint,7,32.6477117186154
79,Bal4Constraint,8,32.6477117186154
80,Bal4Constraint,9,32.6477117186154
81,Bal4Constraint,10,32.6477117186154
82,Bal4Constraint,11,32.6477117186154
83,Bal4Constraint,12,32.6477117186154
84,Bal4Constraint,13,32.6477117186154
85,Bal4Constraint,14,32.6477117186154
86,Bal4Constraint,15,32.6477117186154
87,Bal4Constraint,16,32.6477117186154
88,Bal4Constraint,17,32.6477117186154
89,Bal4Constraint,18,32.6477117186154
90,Bal4Constraint,19,32.6477117186154
91,Bal4Constraint,20,32.6477117186154
92,Bal4Constraint,21,32.6477117186154
