,ME,NH,VT,WCMA,SEMA,NEMA,CT,RI
0,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
1,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
2,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
3,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
4,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
5,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
6,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
7,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
8,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
9,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
10,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
11,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
12,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
13,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
14,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
15,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
16,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
17,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
18,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
19,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
20,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
21,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
22,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
23,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
24,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
25,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
26,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
27,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
28,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
29,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
30,9869.625205645163,3496.4537096774193,3611.832342741936,1260.9771935483868,0.0,518.5363427419354,1188.6338669354839,10.698665322580647
31,10078.636008928572,3460.607558035714,3330.3578124999995,1064.6864955357144,0.0,479.0282544642857,1060.1161383928572,10.129919642857145
32,10078.636008928572,3460.607558035714,3330.3578124999995,1064.6864955357144,0.0,479.0282544642857,1060.1161383928572,10.129919642857145
33,10078.636008928572,3460.607558035714,3330.3578124999995,1064.6864955357144,0.0,479.0282544642857,1060.1161383928572,10.129919642857145
34,10078.636008928572,3460.607558035714,3330.3578124999995,1064.6864955357144,0.0,479.0282544642857,1060.1161383928572,10.129919642857145
35,10078.636008928572,3460.607558035714,3330.3578124999995,1064.6864955357144,0.0,479.0282544642857,1060.1161383928572,10.129919642857145
36,10078.636008928572,3460.607558035714,3330.3578124999995,1064.6864955357144,0.0,479.0282544642857,1060.1161383928572,10.129919642857145
37,10078.636008928572,3460.607558035714,3330.3578124999995,1064.6864955357144,0.0,479.0282544642857,1060.1161383928572,10.129919642857145
38,10078.636008928572,3460.607558035714,3330.3578124999995,1064.6864955357144,0.0,479.0282544642857,1060.1161383928572,10.129919642857145
39,10078.636008928572,3460.607558035714,3330.3578124999995,1064.6864955357144,0.0,479.0282544642857,1060.1161383928572,10.129919642857145
40,10078.636008928572,3460.607558035714,3330.3578124999995,1064.6864955357144,0.0,479.0282544642857,1060.1161383928572,10.129919642857145
41,10078.636008928572,3460.607558035714,3330.3578124999995,1064.6864955357144,0.0,479.0282544642857,1060.1161383928572,10.129919642857145
