,Generator,Time,Value,Zones,Type,$/MWh
0,CJTSEnergyCenterUNIT4,1,0.0,"243    CT
Name: zone, dtype: object",Gas,64.73666602555475
1,CJTSEnergyCenterUNIT4,2,0.0,"243    CT
Name: zone, dtype: object",Gas,64.73666602555475
2,CJTSEnergyCenterUNIT4,3,0.0,"243    CT
Name: zone, dtype: object",Gas,64.73666602555475
3,CJTSEnergyCenterUNIT4,4,0.0,"243    CT
Name: zone, dtype: object",Gas,64.73666602555475
4,CJTSEnergyCenterUNIT4,5,0.0,"243    CT
Name: zone, dtype: object",Gas,64.73666602555475
5,CJTSEnergyCenterUNIT4,6,0.0,"243    CT
Name: zone, dtype: object",Gas,64.73666602555475
6,CJTSEnergyCenterUNIT4,7,0.0,"243    CT
Name: zone, dtype: object",Gas,64.73666602555475
7,CJTSEnergyCenterUNIT4,8,0.0,"243    CT
Name: zone, dtype: object",Gas,64.73666602555475
8,CJTSEnergyCenterUNIT4,9,0.0,"243    CT
Name: zone, dtype: object",Gas,64.73666602555475
9,CJTSEnergyCenterUNIT4,10,0.0,"243    CT
Name: zone, dtype: object",Gas,64.73666602555475
10,CJTSEnergyCenterUNIT4,11,0.0,"243    CT
Name: zone, dtype: object",Gas,64.73666602555475
11,CJTSEnergyCenterUNIT4,12,0.0,"243    CT
Name: zone, dtype: object",Gas,64.73666602555475
12,CJTSEnergyCenterUNIT4,13,0.0,"243    CT
Name: zone, dtype: object",Gas,64.73666602555475
13,CJTSEnergyCenterUNIT4,14,0.0,"243    CT
Name: zone, dtype: object",Gas,64.73666602555475
14,CJTSEnergyCenterUNIT4,15,0.0,"243    CT
Name: zone, dtype: object",Gas,64.73666602555475
15,CJTSEnergyCenterUNIT4,16,0.0,"243    CT
Name: zone, dtype: object",Gas,64.73666602555475
16,CJTSEnergyCenterUNIT4,17,0.0,"243    CT
Name: zone, dtype: object",Gas,64.73666602555475
17,CJTSEnergyCenterUNIT4,18,0.0,"243    CT
Name: zone, dtype: object",Gas,64.73666602555475
18,CJTSEnergyCenterUNIT4,19,0.0,"243    CT
Name: zone, dtype: object",Gas,64.73666602555475
19,CJTSEnergyCenterUNIT4,20,0.0,"243    CT
Name: zone, dtype: object",Gas,64.73666602555475
20,CJTSEnergyCenterUNIT4,21,0.0,"243    CT
Name: zone, dtype: object",Gas,64.73666602555475
21,CJTSEnergyCenterUNIT4,22,0.0,"243    CT
Name: zone, dtype: object",Gas,64.73666602555475
22,CJTSEnergyCenterUNIT4,23,0.0,"243    CT
Name: zone, dtype: object",Gas,64.73666602555475
23,CJTSEnergyCenterUNIT4,24,0.0,"243    CT
Name: zone, dtype: object",Gas,64.73666602555475
24,BridgeportEnergyProjectGEN3,1,0.0,"236    CT
Name: zone, dtype: object",Gas,29.821624076338068
25,BridgeportEnergyProjectGEN3,2,0.0,"236    CT
Name: zone, dtype: object",Gas,29.821624076338068
26,BridgeportEnergyProjectGEN3,3,0.0,"236    CT
Name: zone, dtype: object",Gas,29.821624076338068
27,BridgeportEnergyProjectGEN3,4,0.0,"236    CT
Name: zone, dtype: object",Gas,29.821624076338068
28,BridgeportEnergyProjectGEN3,5,0.0,"236    CT
Name: zone, dtype: object",Gas,29.821624076338068
29,BridgeportEnergyProjectGEN3,6,0.0,"236    CT
Name: zone, dtype: object",Gas,29.821624076338068
30,BridgeportEnergyProjectGEN3,7,0.0,"236    CT
Name: zone, dtype: object",Gas,29.821624076338068
31,BridgeportEnergyProjectGEN3,8,0.0,"236    CT
Name: zone, dtype: object",Gas,29.821624076338068
32,BridgeportEnergyProjectGEN3,9,0.0,"236    CT
Name: zone, dtype: object",Gas,29.821624076338068
33,BridgeportEnergyProjectGEN3,10,0.0,"236    CT
Name: zone, dtype: object",Gas,29.821624076338068
