,Source,Sink,Time,Value
184,SEMA,ME,17,0.0
185,SEMA,ME,18,0.0
186,SEMA,ME,19,0.0
187,SEMA,ME,20,0.0
188,SEMA,ME,21,0.0
189,SEMA,ME,22,0.0
190,SEMA,ME,23,0.0
191,SEMA,ME,24,0.0
192,VT,SEMA,1,0.0
193,VT,SEMA,2,0.0
194,VT,SEMA,3,0.0
195,VT,SEMA,4,0.0
196,VT,SEMA,5,0.0
197,VT,SEMA,6,0.0
198,VT,SEMA,7,0.0
199,VT,SEMA,8,0.0
200,VT,SEMA,9,0.0
201,VT,SEMA,10,0.0
202,VT,SEMA,11,0.0
203,VT,SEMA,12,0.0
204,VT,SEMA,13,0.0
205,VT,SEMA,14,0.0
206,VT,SEMA,15,0.0
207,VT,SEMA,16,0.0
208,VT,SEMA,17,0.0
209,VT,SEMA,18,0.0
210,VT,SEMA,19,0.0
211,VT,SEMA,20,0.0
212,VT,SEMA,21,0.0
213,VT,SEMA,22,0.0
214,VT,SEMA,23,0.0
215,VT,SEMA,24,0.0
216,VT,VT,1,0.0
217,VT,VT,2,0.0
218,VT,VT,3,0.0
219,VT,VT,4,0.0
220,VT,VT,5,0.0
221,VT,VT,6,0.0
222,VT,VT,7,0.0
223,VT,VT,8,0.0
224,VT,VT,9,0.0
225,VT,VT,10,0.0
226,VT,VT,11,0.0
227,VT,VT,12,0.0
228,VT,VT,13,0.0
229,VT,VT,14,0.0
230,VT,VT,15,0.0
231,VT,VT,16,0.0
232,VT,VT,17,0.0
233,VT,VT,18,0.0
234,VT,VT,19,0.0
235,VT,VT,20,0.0
236,VT,VT,21,0.0
237,VT,VT,22,0.0
238,VT,VT,23,0.0
239,VT,VT,24,0.0
240,VT,WCMA,1,2700.0
241,VT,WCMA,2,0.0
242,VT,WCMA,3,0.0
243,VT,WCMA,4,0.0
244,VT,WCMA,5,0.0
245,VT,WCMA,6,0.0
246,VT,WCMA,7,2700.0
247,VT,WCMA,8,0.0
248,VT,WCMA,9,0.0
249,VT,WCMA,10,2700.0
250,VT,WCMA,11,2700.0
251,VT,WCMA,12,2700.0
252,VT,WCMA,13,2700.0
253,VT,WCMA,14,2700.0
254,VT,WCMA,15,0.0
255,VT,WCMA,16,2700.0
256,VT,WCMA,17,2700.0
257,VT,WCMA,18,2700.0
258,VT,WCMA,19,2700.0
259,VT,WCMA,20,2700.0
260,VT,WCMA,21,2700.0
261,VT,WCMA,22,2700.0
262,VT,WCMA,23,2700.0
263,VT,WCMA,24,2700.0
264,VT,RI,1,0.0
265,VT,RI,2,0.0
266,VT,RI,3,0.0
267,VT,RI,4,0.0
268,VT,RI,5,0.0
269,VT,RI,6,0.0
270,VT,RI,7,0.0
271,VT,RI,8,0.0
272,VT,RI,9,0.0
273,VT,RI,10,0.0
274,VT,RI,11,0.0
275,VT,RI,12,0.0
276,VT,RI,13,0.0
277,VT,RI,14,0.0
278,VT,RI,15,0.0
279,VT,RI,16,0.0
