,CT,ME,NEMA,NH,RI,SEMA,VT,WCMA
0,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
1,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
2,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
3,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
4,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
5,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
6,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
7,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
8,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
9,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
10,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
11,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
12,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
13,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
14,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
15,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
16,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
17,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
18,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
19,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
20,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
21,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
22,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
23,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
24,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
25,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
26,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
27,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
28,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
29,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
30,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
31,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
32,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
33,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
34,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
35,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
36,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
37,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
38,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
39,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
40,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
41,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
42,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
43,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
44,2067.2353,101.8952,92.223,1312.9434,24.0849,613.801,48.8425,28.0926
