,Generator,Time,Value,Zones,Type,$/MWh
0,BackusMicrogridProjectBMP1,1,0.0,CT,Oil,341.65203348757734
1,BackusMicrogridProjectBMP1,2,0.0,CT,Oil,341.65203348757734
2,BackusMicrogridProjectBMP1,3,0.0,CT,Oil,341.65203348757734
3,BackusMicrogridProjectBMP1,4,0.0,CT,Oil,341.65203348757734
4,BackusMicrogridProjectBMP1,5,0.0,CT,Oil,341.65203348757734
5,BackusMicrogridProjectBMP1,6,0.0,CT,Oil,341.65203348757734
6,BackusMicrogridProjectBMP1,7,0.0,CT,Oil,341.65203348757734
7,BackusMicrogridProjectBMP1,8,0.0,CT,Oil,341.65203348757734
8,BackusMicrogridProjectBMP1,9,0.0,CT,Oil,341.65203348757734
9,BackusMicrogridProjectBMP1,10,0.0,CT,Oil,341.65203348757734
10,BackusMicrogridProjectBMP1,11,0.0,CT,Oil,341.65203348757734
11,BackusMicrogridProjectBMP1,12,0.0,CT,Oil,341.65203348757734
12,BackusMicrogridProjectBMP1,13,0.0,CT,Oil,341.65203348757734
13,BackusMicrogridProjectBMP1,14,0.0,CT,Oil,341.65203348757734
14,BackusMicrogridProjectBMP1,15,0.0,CT,Oil,341.65203348757734
15,BackusMicrogridProjectBMP1,16,0.0,CT,Oil,341.65203348757734
16,BackusMicrogridProjectBMP1,17,0.0,CT,Oil,341.65203348757734
17,BackusMicrogridProjectBMP1,18,0.0,CT,Oil,341.65203348757734
18,BackusMicrogridProjectBMP1,19,0.0,CT,Oil,341.65203348757734
19,BackusMicrogridProjectBMP1,20,0.0,CT,Oil,341.65203348757734
20,BackusMicrogridProjectBMP1,21,0.0,CT,Oil,341.65203348757734
21,BackusMicrogridProjectBMP1,22,0.0,CT,Oil,341.65203348757734
22,BackusMicrogridProjectBMP1,23,0.0,CT,Oil,341.65203348757734
23,BackusMicrogridProjectBMP1,24,0.0,CT,Oil,341.65203348757734
24,BridgeportFuelCellPark1,1,0.0,CT,Gas,26.01603849886725
25,BridgeportFuelCellPark1,2,0.0,CT,Gas,26.01603849886725
26,BridgeportFuelCellPark1,3,0.0,CT,Gas,26.01603849886725
27,BridgeportFuelCellPark1,4,0.0,CT,Gas,26.01603849886725
28,BridgeportFuelCellPark1,5,0.0,CT,Gas,26.01603849886725
29,BridgeportFuelCellPark1,6,0.0,CT,Gas,26.01603849886725
30,BridgeportFuelCellPark1,7,0.0,CT,Gas,26.01603849886725
31,BridgeportFuelCellPark1,8,0.0,CT,Gas,26.01603849886725
32,BridgeportFuelCellPark1,9,0.0,CT,Gas,26.01603849886725
33,BridgeportFuelCellPark1,10,0.0,CT,Gas,26.01603849886725
34,BridgeportFuelCellPark1,11,0.0,CT,Gas,26.01603849886725
35,BridgeportFuelCellPark1,12,0.0,CT,Gas,26.01603849886725
36,BridgeportFuelCellPark1,13,0.0,CT,Gas,26.01603849886725
37,BridgeportFuelCellPark1,14,0.0,CT,Gas,26.01603849886725
38,BridgeportFuelCellPark1,15,0.0,CT,Gas,26.01603849886725
39,BridgeportFuelCellPark1,16,0.0,CT,Gas,26.01603849886725
40,BridgeportFuelCellPark1,17,0.0,CT,Gas,26.01603849886725
41,BridgeportFuelCellPark1,18,0.0,CT,Gas,26.01603849886725
42,BridgeportFuelCellPark1,19,0.0,CT,Gas,26.01603849886725
43,BridgeportFuelCellPark1,20,0.0,CT,Gas,26.01603849886725
44,BridgeportFuelCellPark1,21,0.0,CT,Gas,26.01603849886725
45,BridgeportFuelCellPark1,22,0.0,CT,Gas,26.01603849886725
46,BridgeportFuelCellPark1,23,0.0,CT,Gas,26.01603849886725
47,BridgeportFuelCellPark1,24,0.0,CT,Gas,26.01603849886725
48,UncasvilleMillGEN1,1,0.56,CT,Gas,18.843866982994662
49,UncasvilleMillGEN1,2,0.56,CT,Gas,18.843866982994662
50,UncasvilleMillGEN1,3,0.56,CT,Gas,18.843866982994662
51,UncasvilleMillGEN1,4,0.56,CT,Gas,18.843866982994662
52,UncasvilleMillGEN1,5,0.56,CT,Gas,18.843866982994662
53,UncasvilleMillGEN1,6,0.56,CT,Gas,18.843866982994662
54,UncasvilleMillGEN1,7,0.56,CT,Gas,18.843866982994662
55,UncasvilleMillGEN1,8,0.56,CT,Gas,18.843866982994662
56,UncasvilleMillGEN1,9,0.56,CT,Gas,18.843866982994662
57,UncasvilleMillGEN1,10,0.56,CT,Gas,18.843866982994662
58,UncasvilleMillGEN1,11,0.56,CT,Gas,18.843866982994662
59,UncasvilleMillGEN1,12,0.56,CT,Gas,18.843866982994662
60,UncasvilleMillGEN1,13,0.56,CT,Gas,18.843866982994662
61,UncasvilleMillGEN1,14,0.56,CT,Gas,18.843866982994662
62,UncasvilleMillGEN1,15,0.56,CT,Gas,18.843866982994662
63,UncasvilleMillGEN1,16,0.56,CT,Gas,18.843866982994662
64,UncasvilleMillGEN1,17,0.56,CT,Gas,18.843866982994662
65,UncasvilleMillGEN1,18,0.56,CT,Gas,18.843866982994662
66,UncasvilleMillGEN1,19,0.56,CT,Gas,18.843866982994662
67,UncasvilleMillGEN1,20,0.56,CT,Gas,18.843866982994662
68,UncasvilleMillGEN1,21,0.56,CT,Gas,18.843866982994662
69,UncasvilleMillGEN1,22,0.56,CT,Gas,18.843866982994662
70,UncasvilleMillGEN1,23,0.56,CT,Gas,18.843866982994662
71,UncasvilleMillGEN1,24,0.56,CT,Gas,18.843866982994662
72,CosCobUN12,1,0.0,CT,Oil,202.28818710687747
73,CosCobUN12,2,0.0,CT,Oil,202.28818710687747
74,CosCobUN12,3,0.0,CT,Oil,202.28818710687747
75,CosCobUN12,4,0.0,CT,Oil,202.28818710687747
76,CosCobUN12,5,0.0,CT,Oil,202.28818710687747
77,CosCobUN12,6,0.0,CT,Oil,202.28818710687747
78,CosCobUN12,7,0.0,CT,Oil,202.28818710687747
79,CosCobUN12,8,0.0,CT,Oil,202.28818710687747
80,CosCobUN12,9,0.0,CT,Oil,202.28818710687747
81,CosCobUN12,10,0.0,CT,Oil,202.28818710687747
82,CosCobUN12,11,0.0,CT,Oil,202.28818710687747
83,CosCobUN12,12,0.0,CT,Oil,202.28818710687747
84,CosCobUN12,13,0.0,CT,Oil,202.28818710687747
85,CosCobUN12,14,0.0,CT,Oil,202.28818710687747
86,CosCobUN12,15,0.0,CT,Oil,202.28818710687747
87,CosCobUN12,16,0.0,CT,Oil,202.28818710687747
88,CosCobUN12,17,0.0,CT,Oil,202.28818710687747
89,CosCobUN12,18,0.0,CT,Oil,202.28818710687747
90,CosCobUN12,19,0.0,CT,Oil,202.28818710687747
91,CosCobUN12,20,0.0,CT,Oil,202.28818710687747
92,CosCobUN12,21,0.0,CT,Oil,202.28818710687747
93,CosCobUN12,22,0.0,CT,Oil,202.28818710687747
94,CosCobUN12,23,0.0,CT,Oil,202.28818710687747
95,CosCobUN12,24,0.0,CT,Oil,202.28818710687747
96,SouthMeadow13,1,0.0,CT,Oil,341.04875710069535
97,SouthMeadow13,2,0.0,CT,Oil,341.04875710069535
98,SouthMeadow13,3,0.0,CT,Oil,341.04875710069535
99,SouthMeadow13,4,0.0,CT,Oil,341.04875710069535
100,SouthMeadow13,5,0.0,CT,Oil,341.04875710069535
101,SouthMeadow13,6,0.0,CT,Oil,341.04875710069535
