,Generator,Time,Value,Zones
120,TorringtonTerminalUN10,1,21.8,CT
121,TorringtonTerminalUN10,2,21.8,CT
122,TorringtonTerminalUN10,3,21.8,CT
123,TorringtonTerminalUN10,4,21.8,CT
124,TorringtonTerminalUN10,5,21.8,CT
125,TorringtonTerminalUN10,6,21.8,CT
126,TorringtonTerminalUN10,7,21.8,CT
127,TorringtonTerminalUN10,8,21.8,CT
128,TorringtonTerminalUN10,9,21.8,CT
129,TorringtonTerminalUN10,10,21.8,CT
130,TorringtonTerminalUN10,11,21.8,CT
131,TorringtonTerminalUN10,12,21.8,CT
132,TorringtonTerminalUN10,13,21.8,CT
133,TorringtonTerminalUN10,14,21.8,CT
134,TorringtonTerminalUN10,15,21.8,CT
135,TorringtonTerminalUN10,16,21.8,CT
136,TorringtonTerminalUN10,17,21.8,CT
137,TorringtonTerminalUN10,18,21.8,CT
138,TorringtonTerminalUN10,19,21.8,CT
139,TorringtonTerminalUN10,20,21.8,CT
140,TorringtonTerminalUN10,21,21.8,CT
141,TorringtonTerminalUN10,22,21.8,CT
142,TorringtonTerminalUN10,23,21.8,CT
143,TorringtonTerminalUN10,24,21.8,CT
144,WallingfordEnergyCTG1,1,50.0,CT
145,WallingfordEnergyCTG1,2,50.0,CT
146,WallingfordEnergyCTG1,3,50.0,CT
147,WallingfordEnergyCTG1,4,50.0,CT
148,WallingfordEnergyCTG1,5,50.0,CT
149,WallingfordEnergyCTG1,6,50.0,CT
150,WallingfordEnergyCTG1,7,50.0,CT
151,WallingfordEnergyCTG1,8,50.0,CT
152,WallingfordEnergyCTG1,9,50.0,CT
153,WallingfordEnergyCTG1,10,50.0,CT
154,WallingfordEnergyCTG1,11,50.0,CT
155,WallingfordEnergyCTG1,12,50.0,CT
156,WallingfordEnergyCTG1,13,50.0,CT
157,WallingfordEnergyCTG1,14,50.0,CT
158,WallingfordEnergyCTG1,15,50.0,CT
159,WallingfordEnergyCTG1,16,50.0,CT
160,WallingfordEnergyCTG1,17,50.0,CT
161,WallingfordEnergyCTG1,18,50.0,CT
162,WallingfordEnergyCTG1,19,50.0,CT
163,WallingfordEnergyCTG1,20,50.0,CT
164,WallingfordEnergyCTG1,21,50.0,CT
165,WallingfordEnergyCTG1,22,50.0,CT
166,WallingfordEnergyCTG1,23,50.0,CT
167,WallingfordEnergyCTG1,24,50.0,CT
168,CJTSEnergyCenterUNIT2,1,0.2,CT
169,CJTSEnergyCenterUNIT2,2,0.2,CT
170,CJTSEnergyCenterUNIT2,3,0.2,CT
171,CJTSEnergyCenterUNIT2,4,0.2,CT
172,CJTSEnergyCenterUNIT2,5,0.2,CT
173,CJTSEnergyCenterUNIT2,6,0.2,CT
174,CJTSEnergyCenterUNIT2,7,0.2,CT
175,CJTSEnergyCenterUNIT2,8,0.2,CT
176,CJTSEnergyCenterUNIT2,9,0.2,CT
177,CJTSEnergyCenterUNIT2,10,0.2,CT
178,CJTSEnergyCenterUNIT2,11,0.2,CT
179,CJTSEnergyCenterUNIT2,12,0.2,CT
180,CJTSEnergyCenterUNIT2,13,0.2,CT
181,CJTSEnergyCenterUNIT2,14,0.2,CT
182,CJTSEnergyCenterUNIT2,15,0.2,CT
183,CJTSEnergyCenterUNIT2,16,0.2,CT
184,CJTSEnergyCenterUNIT2,17,0.2,CT
185,CJTSEnergyCenterUNIT2,18,0.2,CT
186,CJTSEnergyCenterUNIT2,19,0.2,CT
187,CJTSEnergyCenterUNIT2,20,0.2,CT
188,CJTSEnergyCenterUNIT2,21,0.2,CT
189,CJTSEnergyCenterUNIT2,22,0.2,CT
190,CJTSEnergyCenterUNIT2,23,0.2,CT
191,CJTSEnergyCenterUNIT2,24,0.2,CT
192,LebanonPines12LP2,1,2.6,CT
193,LebanonPines12LP2,2,2.6,CT
194,LebanonPines12LP2,3,2.6,CT
195,LebanonPines12LP2,4,2.6,CT
196,LebanonPines12LP2,5,2.6,CT
197,LebanonPines12LP2,6,2.6,CT
198,LebanonPines12LP2,7,2.6,CT
199,LebanonPines12LP2,8,2.6,CT
200,LebanonPines12LP2,9,2.6,CT
201,LebanonPines12LP2,10,2.6,CT
202,LebanonPines12LP2,11,2.6,CT
203,LebanonPines12LP2,12,2.6,CT
204,LebanonPines12LP2,13,2.6,CT
205,LebanonPines12LP2,14,2.6,CT
206,LebanonPines12LP2,15,2.6,CT
207,LebanonPines12LP2,16,2.6,CT
208,LebanonPines12LP2,17,2.6,CT
209,LebanonPines12LP2,18,2.6,CT
210,LebanonPines12LP2,19,2.6,CT
211,LebanonPines12LP2,20,2.6,CT
212,LebanonPines12LP2,21,2.6,CT
213,LebanonPines12LP2,22,2.6,CT
214,LebanonPines12LP2,23,2.6,CT
215,LebanonPines12LP2,24,2.6,CT
216,Norden43103NORD1,1,2.0,CT
217,Norden43103NORD1,2,2.0,CT
218,Norden43103NORD1,3,2.0,CT
219,Norden43103NORD1,4,2.0,CT
220,Norden43103NORD1,5,2.0,CT
221,Norden43103NORD1,6,2.0,CT
222,Norden43103NORD1,7,2.0,CT
223,Norden43103NORD1,8,2.0,CT
224,Norden43103NORD1,9,2.0,CT
225,Norden43103NORD1,10,2.0,CT
226,Norden43103NORD1,11,2.0,CT
227,Norden43103NORD1,12,2.0,CT
228,Norden43103NORD1,13,2.0,CT
229,Norden43103NORD1,14,2.0,CT
230,Norden43103NORD1,15,2.0,CT
231,Norden43103NORD1,16,2.0,CT
232,Norden43103NORD1,17,2.0,CT
233,Norden43103NORD1,18,2.0,CT
234,Norden43103NORD1,19,2.0,CT
235,Norden43103NORD1,20,2.0,CT
236,Norden43103NORD1,21,2.0,CT
237,Norden43103NORD1,22,2.0,CT
238,Norden43103NORD1,23,2.0,CT
239,Norden43103NORD1,24,2.0,CT
240,LNG12LNG1,1,2.6,CT
241,LNG12LNG1,2,2.6,CT
242,LNG12LNG1,3,2.6,CT
243,LNG12LNG1,4,2.6,CT
244,LNG12LNG1,5,2.6,CT
245,LNG12LNG1,6,2.6,CT
246,LNG12LNG1,7,2.6,CT
247,LNG12LNG1,8,2.6,CT
248,LNG12LNG1,9,2.6,CT
249,LNG12LNG1,10,2.6,CT
250,LNG12LNG1,11,2.6,CT
251,LNG12LNG1,12,2.6,CT
252,LNG12LNG1,13,2.6,CT
253,LNG12LNG1,14,2.6,CT
254,LNG12LNG1,15,2.6,CT
255,LNG12LNG1,16,2.6,CT
256,LNG12LNG1,17,2.6,CT
257,LNG12LNG1,18,2.6,CT
258,LNG12LNG1,19,2.6,CT
259,LNG12LNG1,20,2.6,CT
260,LNG12LNG1,21,2.6,CT
261,LNG12LNG1,22,2.6,CT
262,LNG12LNG1,23,2.6,CT
263,LNG12LNG1,24,2.6,CT
264,CosCobUN11,1,25.0,CT
265,CosCobUN11,2,25.0,CT
266,CosCobUN11,3,25.0,CT
267,CosCobUN11,4,25.0,CT
268,CosCobUN11,5,25.0,CT
269,CosCobUN11,6,25.0,CT
270,CosCobUN11,7,25.0,CT
271,CosCobUN11,8,25.0,CT
272,CosCobUN11,9,25.0,CT
273,CosCobUN11,10,25.0,CT
274,CosCobUN11,11,25.0,CT
275,CosCobUN11,12,25.0,CT
276,CosCobUN11,13,25.0,CT
277,CosCobUN11,14,25.0,CT
278,CosCobUN11,15,25.0,CT
279,CosCobUN11,16,25.0,CT
280,CosCobUN11,17,25.0,CT
281,CosCobUN11,18,25.0,CT
282,CosCobUN11,19,25.0,CT
283,CosCobUN11,20,25.0,CT
284,CosCobUN11,21,25.0,CT
285,CosCobUN11,22,25.0,CT
286,CosCobUN11,23,25.0,CT
287,CosCobUN11,24,25.0,CT
288,UCONNCogenFacilityCGT2,1,0.0,CT
289,UCONNCogenFacilityCGT2,2,0.0,CT
290,UCONNCogenFacilityCGT2,3,0.0,CT
291,UCONNCogenFacilityCGT2,4,0.0,CT
292,UCONNCogenFacilityCGT2,5,0.0,CT
293,UCONNCogenFacilityCGT2,6,0.0,CT
294,UCONNCogenFacilityCGT2,7,0.0,CT
295,UCONNCogenFacilityCGT2,8,0.0,CT
296,UCONNCogenFacilityCGT2,9,0.0,CT
297,UCONNCogenFacilityCGT2,10,0.0,CT
298,UCONNCogenFacilityCGT2,11,0.0,CT
299,UCONNCogenFacilityCGT2,12,0.0,CT
300,UCONNCogenFacilityCGT2,13,0.0,CT
301,UCONNCogenFacilityCGT2,14,0.0,CT
302,UCONNCogenFacilityCGT2,15,0.0,CT
303,UCONNCogenFacilityCGT2,16,0.0,CT
304,UCONNCogenFacilityCGT2,17,0.0,CT
305,UCONNCogenFacilityCGT2,18,0.0,CT
306,UCONNCogenFacilityCGT2,19,0.0,CT
307,UCONNCogenFacilityCGT2,20,0.0,CT
308,UCONNCogenFacilityCGT2,21,0.0,CT
309,UCONNCogenFacilityCGT2,22,0.0,CT
310,UCONNCogenFacilityCGT2,23,0.0,CT
311,UCONNCogenFacilityCGT2,24,0.0,CT
312,GenConnDevonLLC17,1,60.5,CT
313,GenConnDevonLLC17,2,60.5,CT
314,GenConnDevonLLC17,3,60.5,CT
315,GenConnDevonLLC17,4,60.5,CT
316,GenConnDevonLLC17,5,60.5,CT
317,GenConnDevonLLC17,6,60.5,CT
318,GenConnDevonLLC17,7,60.5,CT
319,GenConnDevonLLC17,8,60.5,CT
320,GenConnDevonLLC17,9,60.5,CT
321,GenConnDevonLLC17,10,60.5,CT
322,GenConnDevonLLC17,11,60.5,CT
323,GenConnDevonLLC17,12,60.5,CT
324,GenConnDevonLLC17,13,60.5,CT
325,GenConnDevonLLC17,14,60.5,CT
326,GenConnDevonLLC17,15,60.5,CT
327,GenConnDevonLLC17,16,60.5,CT
328,GenConnDevonLLC17,17,60.5,CT
329,GenConnDevonLLC17,18,60.5,CT
330,GenConnDevonLLC17,19,60.5,CT
331,GenConnDevonLLC17,20,60.5,CT
332,GenConnDevonLLC17,21,60.5,CT
333,GenConnDevonLLC17,22,60.5,CT
334,GenConnDevonLLC17,23,60.5,CT
335,GenConnDevonLLC17,24,60.5,CT
336,CPVTowanticEnergyCenterCTG1,1,280.5,CT
337,CPVTowanticEnergyCenterCTG1,2,280.5,CT
338,CPVTowanticEnergyCenterCTG1,3,280.5,CT
339,CPVTowanticEnergyCenterCTG1,4,280.5,CT
340,CPVTowanticEnergyCenterCTG1,5,280.5,CT
341,CPVTowanticEnergyCenterCTG1,6,280.5,CT
342,CPVTowanticEnergyCenterCTG1,7,280.5,CT
343,CPVTowanticEnergyCenterCTG1,8,280.5,CT
344,CPVTowanticEnergyCenterCTG1,9,280.5,CT
345,CPVTowanticEnergyCenterCTG1,10,280.5,CT
346,CPVTowanticEnergyCenterCTG1,11,280.5,CT
347,CPVTowanticEnergyCenterCTG1,12,280.5,CT
348,CPVTowanticEnergyCenterCTG1,13,280.5,CT
349,CPVTowanticEnergyCenterCTG1,14,280.5,CT
350,CPVTowanticEnergyCenterCTG1,15,280.5,CT
351,CPVTowanticEnergyCenterCTG1,16,280.5,CT
352,CPVTowanticEnergyCenterCTG1,17,280.5,CT
353,CPVTowanticEnergyCenterCTG1,18,280.5,CT
354,CPVTowanticEnergyCenterCTG1,19,280.5,CT
355,CPVTowanticEnergyCenterCTG1,20,280.5,CT
