,Constraint,Time,Value
0,Bal1Constraint,1,32.13377390297917
1,Bal1Constraint,2,32.01498475915714
2,Bal1Constraint,3,32.01498475915714
3,Bal1Constraint,4,31.8477117186154
4,Bal1Constraint,5,31.513828886409858
5,Bal1Constraint,6,31.70377183727571
6,Bal1Constraint,7,31.8477117186154
7,Bal1Constraint,8,32.10599613422907
8,Bal1Constraint,9,32.27896063431721
9,Bal1Constraint,10,32.27896063431721
10,Bal1Constraint,11,32.27896063431721
11,Bal1Constraint,12,32.27896063431721
12,Bal1Constraint,13,32.27896063431721
13,Bal1Constraint,14,32.27896063431721
14,Bal1Constraint,15,32.27896063431721
15,Bal1Constraint,16,32.27896063431721
16,Bal1Constraint,17,32.78728122684336
17,Bal1Constraint,18,33.025302245288216
18,Bal1Constraint,19,33.025302245288216
19,Bal1Constraint,20,32.81855758542166
20,Bal1Constraint,21,32.78728122684336
21,Bal1Constraint,22,32.27896063431721
22,Bal1Constraint,23,32.278960634317215
23,Bal1Constraint,24,32.13377390297917
24,Bal2Constraint,1,32.13377390297917
25,Bal2Constraint,2,32.01498475915714
26,Bal2Constraint,3,32.01498475915714
27,Bal2Constraint,4,31.8477117186154
28,Bal2Constraint,5,31.513828886409858
29,Bal2Constraint,6,31.70377183727571
30,Bal2Constraint,7,31.8477117186154
31,Bal2Constraint,8,32.10599613422907
32,Bal2Constraint,9,32.27896063431721
33,Bal2Constraint,10,32.27896063431721
34,Bal2Constraint,11,32.27896063431721
35,Bal2Constraint,12,32.27896063431721
36,Bal2Constraint,13,32.27896063431721
37,Bal2Constraint,14,32.27896063431721
38,Bal2Constraint,15,32.27896063431721
39,Bal2Constraint,16,32.27896063431721
40,Bal2Constraint,17,32.27896063431721
41,Bal2Constraint,18,32.27896063431721
42,Bal2Constraint,19,32.27896063431721
43,Bal2Constraint,20,32.27896063431721
44,Bal2Constraint,21,32.27896063431721
45,Bal2Constraint,22,32.27896063431721
46,Bal2Constraint,23,32.278960634317215
47,Bal2Constraint,24,32.13377390297917
48,Bal3Constraint,1,32.13377390297917
49,Bal3Constraint,2,32.01498475915714
50,Bal3Constraint,3,32.01498475915714
51,Bal3Constraint,4,31.8477117186154
52,Bal3Constraint,5,31.513828886409858
53,Bal3Constraint,6,31.70377183727571
54,Bal3Constraint,7,31.8477117186154
55,Bal3Constraint,8,32.10599613422907
56,Bal3Constraint,9,32.27896063431721
57,Bal3Constraint,10,32.27896063431721
58,Bal3Constraint,11,32.27896063431721
59,Bal3Constraint,12,32.27896063431721
60,Bal3Constraint,13,32.27896063431721
61,Bal3Constraint,14,32.27896063431721
62,Bal3Constraint,15,32.27896063431721
63,Bal3Constraint,16,32.27896063431721
64,Bal3Constraint,17,32.78728122684336
65,Bal3Constraint,18,33.025302245288216
66,Bal3Constraint,19,33.025302245288216
67,Bal3Constraint,20,32.81855758542166
68,Bal3Constraint,21,32.78728122684336
69,Bal3Constraint,22,32.27896063431721
70,Bal3Constraint,23,32.278960634317215
71,Bal3Constraint,24,32.13377390297917
72,Bal4Constraint,1,32.13377390297917
73,Bal4Constraint,2,32.01498475915714
74,Bal4Constraint,3,32.01498475915714
75,Bal4Constraint,4,31.8477117186154
76,Bal4Constraint,5,31.513828886409858
77,Bal4Constraint,6,31.70377183727571
78,Bal4Constraint,7,31.8477117186154
79,Bal4Constraint,8,32.10599613422907
80,Bal4Constraint,9,32.27896063431721
81,Bal4Constraint,10,32.27896063431721
82,Bal4Constraint,11,32.27896063431721
83,Bal4Constraint,12,32.27896063431721
84,Bal4Constraint,13,32.27896063431721
85,Bal4Constraint,14,32.27896063431721
86,Bal4Constraint,15,32.27896063431721
87,Bal4Constraint,16,32.27896063431721
88,Bal4Constraint,17,32.78728122684336
89,Bal4Constraint,18,33.025302245288216
90,Bal4Constraint,19,33.025302245288216
91,Bal4Constraint,20,32.81855758542166
92,Bal4Constraint,21,32.78728122684336
93,Bal4Constraint,22,32.27896063431721
94,Bal4Constraint,23,32.278960634317215
95,Bal4Constraint,24,32.13377390297917
96,Bal5Constraint,1,32.13377390297917
97,Bal5Constraint,2,32.01498475915714
98,Bal5Constraint,3,32.01498475915714
99,Bal5Constraint,4,31.8477117186154
100,Bal5Constraint,5,31.513828886409858
