,Constraint,Time,Value
0,Bal1Constraint,1,32.19305361795606
1,Bal1Constraint,2,32.10599613422907
2,Bal1Constraint,3,30.888324918944257
3,Bal1Constraint,4,30.399043138263913
4,Bal1Constraint,5,30.399043138263913
5,Bal1Constraint,6,31.513828886409858
6,Bal1Constraint,7,32.19305361795606
7,Bal1Constraint,8,32.78728122684336
8,Bal1Constraint,9,32.78728122684336
9,Bal1Constraint,10,32.78728122684336
10,Bal1Constraint,11,32.78728122684336
11,Bal1Constraint,12,32.78728122684336
12,Bal1Constraint,13,32.78728122684336
13,Bal1Constraint,14,32.78728122684336
14,Bal1Constraint,15,32.78728122684336
15,Bal1Constraint,16,32.78728122684336
16,Bal1Constraint,17,32.78728122684336
17,Bal1Constraint,18,32.78728122684336
18,Bal1Constraint,19,32.78728122684336
19,Bal1Constraint,20,32.78728122684336
20,Bal1Constraint,21,32.78728122684336
21,Bal1Constraint,22,32.78728122684336
22,Bal1Constraint,23,32.78728122684336
23,Bal1Constraint,24,32.78728122684336
24,Bal2Constraint,1,32.19305361795606
25,Bal2Constraint,2,32.10599613422907
26,Bal2Constraint,3,30.888324918944257
27,Bal2Constraint,4,30.399043138263913
28,Bal2Constraint,5,30.399043138263913
29,Bal2Constraint,6,31.513828886409858
30,Bal2Constraint,7,32.19305361795606
31,Bal2Constraint,8,32.78728122684336
32,Bal2Constraint,9,32.78728122684336
33,Bal2Constraint,10,32.78728122684336
34,Bal2Constraint,11,32.78728122684336
35,Bal2Constraint,12,32.78728122684336
36,Bal2Constraint,13,32.78728122684336
37,Bal2Constraint,14,32.78728122684336
38,Bal2Constraint,15,32.78728122684336
39,Bal2Constraint,16,32.78728122684336
40,Bal2Constraint,17,32.78728122684336
41,Bal2Constraint,18,32.78728122684336
42,Bal2Constraint,19,32.78728122684336
43,Bal2Constraint,20,32.78728122684336
44,Bal2Constraint,21,32.78728122684336
45,Bal2Constraint,22,32.78728122684336
46,Bal2Constraint,23,32.78728122684336
47,Bal2Constraint,24,32.78728122684336
48,Bal3Constraint,1,32.19305361795606
49,Bal3Constraint,2,32.10599613422907
50,Bal3Constraint,3,30.888324918944257
51,Bal3Constraint,4,30.399043138263913
52,Bal3Constraint,5,30.399043138263913
53,Bal3Constraint,6,31.513828886409858
54,Bal3Constraint,7,32.19305361795606
55,Bal3Constraint,8,32.78728122684336
56,Bal3Constraint,9,32.78728122684336
57,Bal3Constraint,10,32.78728122684336
58,Bal3Constraint,11,32.78728122684336
59,Bal3Constraint,12,32.78728122684336
60,Bal3Constraint,13,32.78728122684336
61,Bal3Constraint,14,32.78728122684336
62,Bal3Constraint,15,32.78728122684336
63,Bal3Constraint,16,32.78728122684336
64,Bal3Constraint,17,32.78728122684336
65,Bal3Constraint,18,32.78728122684336
66,Bal3Constraint,19,32.78728122684336
67,Bal3Constraint,20,32.78728122684336
68,Bal3Constraint,21,32.78728122684336
69,Bal3Constraint,22,32.78728122684336
70,Bal3Constraint,23,32.78728122684336
71,Bal3Constraint,24,32.78728122684336
72,Bal4Constraint,1,32.19305361795606
73,Bal4Constraint,2,32.10599613422907
74,Bal4Constraint,3,30.888324918944257
75,Bal4Constraint,4,30.399043138263913
76,Bal4Constraint,5,30.399043138263913
77,Bal4Constraint,6,31.513828886409858
