,Constraint,Time,Value
0,Bal1Constraint,1,32.632387505129344
1,Bal1Constraint,2,32.387200089352724
2,Bal1Constraint,3,32.19305361795606
3,Bal1Constraint,4,31.8477117186154
4,Bal1Constraint,5,31.8477117186154
5,Bal1Constraint,6,32.387200089352724
6,Bal1Constraint,7,32.6477117186154
7,Bal1Constraint,8,32.6477117186154
8,Bal1Constraint,9,32.6477117186154
9,Bal1Constraint,10,32.6477117186154
10,Bal1Constraint,11,32.6477117186154
11,Bal1Constraint,12,32.6477117186154
12,Bal1Constraint,13,32.6477117186154
13,Bal1Constraint,14,32.6477117186154
14,Bal1Constraint,15,32.6477117186154
15,Bal1Constraint,16,32.6477117186154
16,Bal1Constraint,17,32.6477117186154
17,Bal1Constraint,18,32.6477117186154
18,Bal1Constraint,19,32.6477117186154
19,Bal1Constraint,20,32.6477117186154
20,Bal1Constraint,21,32.6477117186154
21,Bal1Constraint,22,32.6477117186154
22,Bal1Constraint,23,32.632387505129344
23,Bal1Constraint,24,32.632387505129344
24,Bal2Constraint,1,32.632387505129344
25,Bal2Constraint,2,32.387200089352724
26,Bal2Constraint,3,32.19305361795606
27,Bal2Constraint,4,31.8477117186154
28,Bal2Constraint,5,31.8477117186154
29,Bal2Constraint,6,32.387200089352724
30,Bal2Constraint,7,32.6477117186154
31,Bal2Constraint,8,32.6477117186154
32,Bal2Constraint,9,32.6477117186154
33,Bal2Constraint,10,32.6477117186154
34,Bal2Constraint,11,32.6477117186154
35,Bal2Constraint,12,32.6477117186154
36,Bal2Constraint,13,32.6477117186154
37,Bal2Constraint,14,32.6477117186154
38,Bal2Constraint,15,32.6477117186154
39,Bal2Constraint,16,32.6477117186154
40,Bal2Constraint,17,32.6477117186154
41,Bal2Constraint,18,32.6477117186154
42,Bal2Constraint,19,32.6477117186154
43,Bal2Constraint,20,32.6477117186154
44,Bal2Constraint,21,32.6477117186154
45,Bal2Constraint,22,32.6477117186154
46,Bal2Constraint,23,32.632387505129344
47,Bal2Constraint,24,32.632387505129344
48,Bal3Constraint,1,32.632387505129344
49,Bal3Constraint,2,32.387200089352724
50,Bal3Constraint,3,32.19305361795606
51,Bal3Constraint,4,31.8477117186154
52,Bal3Constraint,5,31.8477117186154
53,Bal3Constraint,6,32.387200089352724
54,Bal3Constraint,7,32.6477117186154
55,Bal3Constraint,8,32.6477117186154
56,Bal3Constraint,9,32.6477117186154
57,Bal3Constraint,10,32.6477117186154
58,Bal3Constraint,11,32.6477117186154
59,Bal3Constraint,12,32.6477117186154
60,Bal3Constraint,13,32.6477117186154
61,Bal3Constraint,14,32.6477117186154
62,Bal3Constraint,15,32.6477117186154
63,Bal3Constraint,16,32.6477117186154
64,Bal3Constraint,17,32.6477117186154
65,Bal3Constraint,18,32.6477117186154
66,Bal3Constraint,19,32.6477117186154
67,Bal3Constraint,20,32.6477117186154
68,Bal3Constraint,21,32.6477117186154
69,Bal3Constraint,22,32.6477117186154
70,Bal3Constraint,23,32.632387505129344
71,Bal3Constraint,24,32.632387505129344
72,Bal4Constraint,1,32.632387505129344
73,Bal4Constraint,2,32.387200089352724
74,Bal4Constraint,3,32.19305361795606
75,Bal4Constraint,4,31.8477117186154
76,Bal4Constraint,5,31.8477117186154
77,Bal4Constraint,6,32.387200089352724
78,Bal4Constraint,7,32.6477117186154
79,Bal4Constraint,8,32.6477117186154
80,Bal4Constraint,9,32.6477117186154
81,Bal4Constraint,10,32.6477117186154
82,Bal4Constraint,11,32.6477117186154
83,Bal4Constraint,12,32.6477117186154
84,Bal4Constraint,13,32.6477117186154
85,Bal4Constraint,14,32.6477117186154
86,Bal4Constraint,15,32.6477117186154
87,Bal4Constraint,16,32.6477117186154
88,Bal4Constraint,17,32.6477117186154
89,Bal4Constraint,18,32.6477117186154
90,Bal4Constraint,19,32.6477117186154
91,Bal4Constraint,20,32.6477117186154
92,Bal4Constraint,21,32.6477117186154
93,Bal4Constraint,22,32.6477117186154
94,Bal4Constraint,23,32.632387505129344
95,Bal4Constraint,24,32.632387505129344
96,Bal5Constraint,1,32.632387505129344
97,Bal5Constraint,2,32.387200089352724
98,Bal5Constraint,3,32.19305361795606
99,Bal5Constraint,4,31.8477117186154
100,Bal5Constraint,5,31.8477117186154
101,Bal5Constraint,6,32.387200089352724
102,Bal5Constraint,7,32.6477117186154
103,Bal5Constraint,8,32.6477117186154
104,Bal5Constraint,9,32.6477117186154
105,Bal5Constraint,10,32.6477117186154
106,Bal5Constraint,11,32.6477117186154
107,Bal5Constraint,12,32.6477117186154
108,Bal5Constraint,13,32.6477117186154
109,Bal5Constraint,14,32.6477117186154
110,Bal5Constraint,15,32.6477117186154
111,Bal5Constraint,16,32.6477117186154
112,Bal5Constraint,17,32.6477117186154
113,Bal5Constraint,18,32.6477117186154
114,Bal5Constraint,19,32.6477117186154
115,Bal5Constraint,20,32.6477117186154
116,Bal5Constraint,21,32.6477117186154
117,Bal5Constraint,22,32.6477117186154
118,Bal5Constraint,23,32.632387505129344
119,Bal5Constraint,24,32.632387505129344
120,Bal6Constraint,1,32.632387505129344
121,Bal6Constraint,2,32.387200089352724
122,Bal6Constraint,3,32.19305361795606
123,Bal6Constraint,4,31.8477117186154
124,Bal6Constraint,5,31.8477117186154
125,Bal6Constraint,6,32.387200089352724
126,Bal6Constraint,7,32.6477117186154
127,Bal6Constraint,8,32.6477117186154
128,Bal6Constraint,9,32.6477117186154
129,Bal6Constraint,10,32.6477117186154
130,Bal6Constraint,11,32.6477117186154
131,Bal6Constraint,12,32.6477117186154
132,Bal6Constraint,13,32.6477117186154
133,Bal6Constraint,14,32.6477117186154
134,Bal6Constraint,15,32.6477117186154
135,Bal6Constraint,16,32.6477117186154
136,Bal6Constraint,17,32.6477117186154
137,Bal6Constraint,18,32.6477117186154
138,Bal6Constraint,19,32.6477117186154
139,Bal6Constraint,20,32.6477117186154
140,Bal6Constraint,21,32.6477117186154
141,Bal6Constraint,22,32.6477117186154
142,Bal6Constraint,23,32.632387505129344
143,Bal6Constraint,24,32.632387505129344
144,Bal7Constraint,1,32.632387505129344
145,Bal7Constraint,2,32.387200089352724
146,Bal7Constraint,3,32.19305361795606
147,Bal7Constraint,4,31.8477117186154
148,Bal7Constraint,5,31.8477117186154
149,Bal7Constraint,6,32.387200089352724
150,Bal7Constraint,7,32.6477117186154
151,Bal7Constraint,8,32.6477117186154
152,Bal7Constraint,9,32.6477117186154
153,Bal7Constraint,10,32.6477117186154
154,Bal7Constraint,11,32.6477117186154
155,Bal7Constraint,12,32.6477117186154
156,Bal7Constraint,13,32.6477117186154
157,Bal7Constraint,14,32.6477117186154
158,Bal7Constraint,15,32.6477117186154
159,Bal7Constraint,16,32.6477117186154
160,Bal7Constraint,17,32.6477117186154
161,Bal7Constraint,18,32.6477117186154
162,Bal7Constraint,19,32.6477117186154
163,Bal7Constraint,20,32.6477117186154
164,Bal7Constraint,21,32.6477117186154
165,Bal7Constraint,22,32.6477117186154
166,Bal7Constraint,23,32.632387505129344
167,Bal7Constraint,24,32.632387505129344
168,Bal8Constraint,1,32.632387505129344
169,Bal8Constraint,2,32.387200089352724
170,Bal8Constraint,3,32.19305361795606
171,Bal8Constraint,4,31.8477117186154
172,Bal8Constraint,5,31.8477117186154
173,Bal8Constraint,6,32.387200089352724
174,Bal8Constraint,7,32.6477117186154
175,Bal8Constraint,8,32.6477117186154
176,Bal8Constraint,9,32.6477117186154
177,Bal8Constraint,10,32.6477117186154
178,Bal8Constraint,11,32.6477117186154
179,Bal8Constraint,12,32.6477117186154
180,Bal8Constraint,13,32.6477117186154
181,Bal8Constraint,14,32.6477117186154
182,Bal8Constraint,15,32.6477117186154
183,Bal8Constraint,16,32.6477117186154
184,Bal8Constraint,17,32.6477117186154
185,Bal8Constraint,18,32.6477117186154
186,Bal8Constraint,19,32.6477117186154
187,Bal8Constraint,20,32.6477117186154
188,Bal8Constraint,21,32.6477117186154
189,Bal8Constraint,22,32.6477117186154
190,Bal8Constraint,23,32.632387505129344
191,Bal8Constraint,24,32.632387505129344
192,Bal1Constraint,25,31.601081733802943
193,Bal1Constraint,26,31.601081733802943
194,Bal1Constraint,27,30.20910018739806
195,Bal1Constraint,28,29.572806562963606
196,Bal1Constraint,29,29.572806562963606
197,Bal1Constraint,30,31.513828886409858
198,Bal1Constraint,31,32.19305361795606
199,Bal1Constraint,32,32.19305361795606
200,Bal1Constraint,33,32.19305361795606
201,Bal1Constraint,34,32.19305361795606
202,Bal1Constraint,35,32.19305361795606
203,Bal1Constraint,36,32.19305361795606
204,Bal1Constraint,37,32.19305361795606
205,Bal1Constraint,38,32.19305361795606
206,Bal1Constraint,39,32.19305361795606
207,Bal1Constraint,40,32.19305361795606
208,Bal1Constraint,41,32.19305361795606
209,Bal1Constraint,42,32.19305361795606
210,Bal1Constraint,43,32.19305361795606
211,Bal1Constraint,44,32.19305361795606
212,Bal1Constraint,45,32.19305361795606
213,Bal1Constraint,46,31.768271410143953
214,Bal1Constraint,47,31.768271410143953
215,Bal1Constraint,48,31.768271410143953
216,Bal2Constraint,25,31.601081733802943
217,Bal2Constraint,26,31.601081733802943
218,Bal2Constraint,27,30.20910018739806
219,Bal2Constraint,28,29.572806562963606
220,Bal2Constraint,29,29.572806562963606
221,Bal2Constraint,30,31.513828886409858
222,Bal2Constraint,31,32.19305361795606
223,Bal2Constraint,32,32.19305361795606
224,Bal2Constraint,33,32.19305361795606
225,Bal2Constraint,34,32.19305361795606
226,Bal2Constraint,35,32.19305361795606
227,Bal2Constraint,36,32.19305361795606
228,Bal2Constraint,37,32.19305361795606
229,Bal2Constraint,38,32.19305361795606
230,Bal2Constraint,39,32.19305361795606
231,Bal2Constraint,40,32.19305361795606
232,Bal2Constraint,41,32.19305361795606
233,Bal2Constraint,42,32.19305361795606
234,Bal2Constraint,43,32.19305361795606
235,Bal2Constraint,44,32.19305361795606
236,Bal2Constraint,45,32.19305361795606
237,Bal2Constraint,46,31.768271410143953
238,Bal2Constraint,47,31.768271410143953
239,Bal2Constraint,48,31.768271410143953
240,Bal3Constraint,25,31.601081733802943
